Years,Exports,Imports,Production,Reexports
1976,2434,3703,1807,239
1977,2286,4137,1810,305
1978,2918,5076,1655,228
1979,2443,4123,1689,235
1980,2620,4161,1863,389
1981,2935,4255,922,315
1982,2995,4210,984,363
1983,3812,4373,1105,414
1984,3284,4062,884,416
1985,2763,3797,3710,435
1986,2846,3924,2671,598
1987,3606,4908,1971,844
1988,3422,5916,4929,1187
1989,4255,5242,5860,1418
1990,3066,5280,4973,1581
1991,3012,5803,3653,1940
1992,4352,10826,3264,2814
1993,4522,10239,5062,2703
1994,4607,11005,2838,3373
1995,3922,8902,3191,4550
1996,5931,13972,1753,5338
1997,5118,13558,3814,5762
1998,5066,13090,1267,6182
1999,6001,14415,1970,6931
2000,7457,17665,3714,8608
2001,7573,14919,2508,6537
2002,10069,16075,3023,8951
2003,10534,17892,3940,9135
2004,8040,17788,3197,8621
2005,6661,15502,5015,7214
2006,5201,14178,2725,6021
2007,5487,14357,2782,5682
2008,6104,13795,4373,5294
2009,5488,12018,4348,4919
2010,6539,12141,5851,5043
2011,6150,12821,3123,3363
2012,6012,12578,1891,2534
2013,5763,9796,1591,2099
