Years,Total,Shark
1950,20142347.9,33398
1951,22809584.7,32005
1952,24490452,31483
1953,24764377,31842
1954,26830017.14,27781
1955,28441617,29830
1956,30161096,34154
1957,30294619,39639
1958,31038628,36958
1959,33279065,36752
1960,35606769,36171
1961,39486645,41756
1962,43068463,31796
1963,43884081.1,39240
1964,48613434.1,40792
1965,49469522.4,38873
1966,53435885.8,53573
1967,56882634,57949
1968,60010031,52273
1969,58649833,64136
1970,64686173,63191
1971,64608534,59178
1972,60277924,78304
1973,60898067,82740
1974,64140370,67606
1975,63589098,78202
1976,66909694,65574
1977,65678714,70826
1978,67730865,66422
1979,68221061.5,82625
1980,68837786,70238
1981,70929374.03,66916
1982,72828962.74,70813
1983,72447929.38,57884
1984,78218175.42,60308
1985,79991900.45,71087
1986,85464572.93,69181
1987,86402155.51,62577
1988,89970977.2,67352
1989,90507889.96,67359
1990,86931551.4,99035
1991,85765558.26,103398
1992,87390315.71,117960
1993,89045280.81,130185
1994,94738666.2,140957
1995,95300192.96,156719
1996,96741426.26,151243
1997,95920445.81,202034
1998,88495639.95,183550
1999,94601259.54,183949
2000,96570486.7,178385
2001,93759916.41,170929
2002,94119666.58,147315
2003,91427039.5,150698
2004,96171825.32,154625
2005,95772942.77,169070
2006,93807917.24,180159
2007,93608959.42,181610
2008,92490696.55,185829
2009,91775326.42,207679
2010,90518081.99,235529
2011,94806704.75,254196
2012,92195907.66,247960
2013,93985289.83,251199
2014,94469559.67,238493
2015,94971661.83,226475
